"Stock
No.",Year,Make,Model,"Model
No.",Color,Lot,VIN,Mileage,Age,Balance,Retail,Certified,"Stock 
Type",Wholesale
O56065A,2019,HOND,ODYSSEY,ODYS,SILVER,MA CF311228,5FNRL6H78KB108311,46202,70,"$31,308.68 ","$31,768 ",Certified,USED,
O56082A,2018,HOND,CR-V,RW6H3JEW,WHITE,RI 20220507,2HKRW6H3XJH213226,42886,68,"$21,401.74 ","$22,928 ",Certified,USED,
O73673XX,2016,JEEP,CHEROKEE,,,MA CD667886,1C4PJMJS7GW321415,43295,66,"$22,731.35 ","$23,968 ",,USED,
O56124A,2020,HOND,CIVIC,FC2F6LEW,SILVER,RI 20546213,2HGFC2F6XLH510527,19880,63,"$22,100.98 ","$24,968 ",Certified,USED,
O56009A,2019,FORD,RANGER,R4F,BLACK,RI 20931068,1FTER4FH3KLA01211,27573,63,"$32,872.14 ","$36,588 ",,USED,
56141,2022,HOND,ACCORD,CV1F4NENW,BLACK,HERE,1HGCV1F45NA077318,5,62,"$29,262.00 ","$31,565 ",,NEW,
56143,2022,HOND,ACCORD,CV1F3NEW,WX,HERE,1HGCV1F3XNA080951,7,62,"$28,288.03 ","$30,470 ",,NEW,
56139,2022,HOND,PILOT,YF6H6NKNW,BK,HERE,5FNYF6H64NB083941,7,62,"$43,891.66 ","$48,465 ",,NEW,
O73681,2019,MB,C300,,WHITE,RI 21015094,55SWF8EB6KU291852,"38,387",61,"$33,774.50 ","$31,968 ",,USED,
O73685XX,2018,KIA,SOUL,,WHITE,RI 20219119,KNDJN2A2XJ7505425,81575,60,"$12,412.07 ","$15,488 ",,USED,
O55985A,2019,HOND,PASSPORT,PASSH,BLUE,RI 20430132,5FNYF8H97KB013495,40268,60,"$31,182.24 ","$34,368 ",Certified,USED,
56151,2022,HOND,PILOT,YF6H2NJNW,GY,HERE,5FNYF6H25NB084125,8,59,"$40,870.43 ","$44,205 ",,NEW,
O56069A,2020,HOND,PILOT,YF6H5LJNW,GY,RI 20516280,5FNYF6H59LB028325,20331,59,"$33,972.46 ","$36,560 ",Certified,USED,
56156,2022,HOND,ACCORD,,GA,HERE,1HGCV1F30NA083888,5,56,"$28,164.03 ","$30,470 ",,NEW,
O56022B,2018,MITS,OUTLANDER,,brown,MA CF392641,JA4AR3AU0JZ029258,"34,328",56,"$16,867.46 ","$17,968 ",,USED,
O56054A,2019,HOND,RIDGELINE,RIDG,BLACK,MA CF400642,5FPYK3F5XKB016848,"36,418",56,"$30,415.79 ","$31,968 ",Certified,USED,
O73695ZZ,2019,TOYO,CAMRY,,,MA BV646228,4T1B11HK8KU736080,"53,866",55,"$19,521.68 ","$21,968 ",,USED,
O73690ZZ,2019,NISS,ALTIMA,,,MA BV056402,1N4BL4FW3KN309122,"36,335",55,"$25,491.91 ","$25,777 ",,USED,
O73691XX,2019,TOYO,RAV4,,GREEN,MA BV54601,JTMP1RFV5KJ018428,"61,992",55,"$26,511.68 ","$27,768 ",,USED,
O73692XX,2020,TOYO,RAV4,,BLACK,MA CA668093,2T3P1RFV4LW091440,39309,55,"$28,761.68 ","$29,968 ",,USED,
O73694XX,2017,GMC,ACADIA,,WHITE,MA CE9911289,1GKKNXLS0HZ301329,69888,55,"$25,465.07 ","$26,968 ",,USED,
56160,2022,HOND,PILOT,YF6H2NJNW,GY,HERE,5FNYF6H27NB086815,5,54,"$40,740.43 ","$44,205 ",,NEW,
O73707ZZ,2021,NISS,ALTIMA,,WHITE,MA CE668057,1N4BL4EW3MN308878,"3,804",53,"$29,876.68 ","$30,968 ",,USED,
O73708XX,2017,TOYO,TUNDRA,,BLUE,MA CE939087,5TFAY5F12HX676835,"88,280",53,"$34,347.68 ","$37,488 ",,USED,
O73709XX,2021,MAZD,MAZDA 3,,BLACK,MA CE879278,JM1BPBNY6M1403785,"6,656",53,"$31,776.68 ","$32,968 ",,USED,
O73700XX,2020,HOND,PILOT,YF6H5LJNW,,MA CA500427,5FNYF6H56LB017802,"48,897",53,"$30,311.68 ","$33,488 ",Certified,USED,
O73701XX,2021,MAZD,CX3,,GRAY,MA CE854463,3MVDMBDM0MM223350,"34,184",53,"$26,666.68 ","$27,668 ",,USED,
O73702XX,2020,HYUN,SANTA FE,,SILVER,MA BV814831,5NMS5CAA9LH163480,"49,802",53,"$31,637.68 ","$30,868 ",,USED,
O73705XX,2019,HOND,CR-V,,ORANGE,MA CE802083,2HKRW2H8XKH611509,"36,789",53,"$29,114.09 ","$30,968 ",Certified,USED,
O73718XX,2020,JEEP,GLADIATOR,,BEIGE,MA CA111378,1C6HJTFG9LL161950,"40,082",52,"$41,491.68 ","$42,968 ",,USED,
O73714XX,2019,CADI,XT5,,WHITE,MA BU789220,1GYKNFRS2KZ172346,"49,284",52,"$31,413.42 ","$32,968 ",,USED,
O73715XX,2015,JEEP,WRANGLER,,RED,MA BV489482,1C4HJWEG3FL686955,"68,681",52,"$27,420.48 ","$26,768 ",,USED,
O56080A,2019,HOND,CR-V,RW6H3KEW,WHITE,RI 20466911,2HKRW6H33KH230421,"16,848",47,"$24,116.09 ","$27,968 ",Certified,USED,
O56079A,2020,HOND,ACCORD,,WHITE,RI 20676167,1HGCV1F32LA153601,"25,604",47,"$27,578.18 ","$29,968 ",Certified,USED,
O73306XXA,2019,BMW,330XI,193W,WHITE,MA CE582534,WBA5R7C59KAJ82139,"27,191",47,"$33,915.93 ","$36,968 ",,USED,
O56076A,2019,HOND,CIVIC,FC2F6KEW,BLUE,NH 15197472,2HGFC2F65KH558905,30207,47,"$19,509.47 ","$22,968 ",Certified,USED,
58174,2022,HOND,PASSPORT,YF8H5NJNW,BK,HERE,5FNYF8H51NB029595,5,47,"$38,518.08 ","$41,765 ",,NEW,
O73354XXA,2017,AUDI,A8,4HL53A,BLACK,PENTFED10.11,WAU43AFD7HN002283,81665,46,"$32,854.85 ",$0 ,,USED,
58182,2022,HOND,PILOT,YF6H2NJNW,GA,HERE,5FNYF6H21NB089743,5,46,"$41,100.20 ","$44,600 ",,NEW,
O56038A,2019,HOND,FIT,GK5H4KEW,SI,RI 20437030,3HGGK5H44KM725910,"48,797",45,"$17,530.20 ","$20,168 ",Certified,USED,
O56158A,2019,HOND,CR-V,RW6H3KEW,BLACK,RI 20473521,2HKRW6H38KH231273,29071,42,"$23,825.19 ","$26,968 ",Certified,USED,
58187,2023,HOND,CR-V,RS4H7PJW,GC,HERE,2HKRS4H73PH401839,15,42,"$33,704.40 ","$36,505 ",,NEW,
58190,2023,HOND,RIDGELINE,YK3F8PKNW,WX,HERE,5FPYK3F87PB008286,6,42,"$43,409.80 ","$47,920 ",,NEW,
O73680XXA,2018,HOND,PILOT,,BLACK,RI 20098631,5FNYF6H92JB004089,"50,622",42,"$34,146.54 ","$32,968 ",Certified,USED,
O56154A,2019,HOND,CIVIC,,SILVER,MA CA710795,2HGFC2F8XKH603452,20320,42,"$22,222.43 ","$24,938 ",Certified,USED,
58191,2022,HOND,PASSPORT,YF8H0NKNW,BK,HERE,5FNYF8H02NB030405,7,42,"$42,781.43 ","$47,225 ",,NEW,
O56064A,2020,HOND,PILOT,YF6H5LJNW,GREY,RI 20549560,5FNYF6H55LB039581,"28,861",42,"$34,597.01 ","$36,368 ",Certified,USED,
O56119A,2021,HOND,ACCORD,,white,MA CE567964,1HGCV1F35MA019179,"18,570",42,"$29,097.13 ","$30,968 ",Certified,USED,
O73728,2000,HOND,S2000,AP114YENW,SILVER,RI REG,JHMAP1148YT007181,30904,41,"$25,616.68 ","$29,968 ",,USED,
58198,2023,HOND,RIDGELINE,YK3F7PKNW,BR,HERE,5FPYK3F72PB009661,5,39,"$42,066.78 ","$46,420 ",,NEW,
58199,2022,HOND,PILOT,YF6H2NJNW,GY,HERE,5FNYF6H22NB091307,5,38,"$40,870.43 ","$44,205 ",,NEW,
O73737,2018,HOND,CR-V,,BLACK,RI 20097377,7FARW2H83JE011223,"105,398",38,"$18,097.69 ",$0 ,,USED,Wholesale
O73739XX,2021,KIA,SORENTO,,SILVER,MA CC828884,5XYRKDLF8MG048290,"18,635",35,"$37,232.00 ","$38,688 ",,USED,
O58171A,2019,HOND,CIVIC,FC2F6KEW,GX,MA BV885553,2HGFC2F66KH589242,"21,728",35,"$18,901.91 ","$23,488 ",Certified,USED,
O56092B,2015,CHRY,200,200,sil,FL 116434116,1C3CCCCG7FN572360,"53,812",35,"$12,605.29 ","$15,968 ",,USED,
O73741XX,2019,FORD,FUSION,P0L,BLUE,MA CF078111,3FA6P0LU9KR156681,"32,011",35,"$21,014.40 ","$22,968 ",,USED,
O73742XX,2021,SUBA,CROSSTREK,,SILVER,MA CB648778,JF2GTHSC0MH214121,"27,879",35,"$27,461.68 ","$29,288 ",,USED,
58200,2022,HOND,ACCORD,CV1F3NEW,WX,HERE,1HGCV1F37NA076694,6,35,"$28,288.03 ","$30,470 ",,NEW,
O55969B,2022,VW,GOLF,,GRAY,MA CF462034,WVWH87CD4NW162351,"10,327",35,"$29,891.30 ","$31,848 ",,USED,
O73357XXB,2020,JEEP,COMPASS,COMP,BLACK,MA CF455660,3C4NJDAB5LT212376,"19,299",35,"$24,718.71 ","$26,488 ",,USED,
O73738XX,2019,JEEP,CHEROKEE,,SILVER,MA CF200899,1C4PJMDXXKD329942,"7,406",35,"$27,226.68 ","$28,968 ",,USED,
O58181A,2019,MAZD,MAZDA 3,,white,RI 20443641,3MZBPAALXKM106276,"10,463",34,"$20,705.46 ","$23,968 ",,USED,
O58168A,2019,HOND,CR-V,RW6H3KEW,BLACK,MA BV927562,2HKRW6H34KH230122,"22,118",34,"$23,032.25 ","$27,968 ",Certified,USED,
O73659XXA,2018,LINC,NAVIGATOR,J2L,White,MA CB886549,5LMJJ2LT2JEL20260,"82,446",33,"$41,570.96 ","$46,488 ",,USED,
58208,2023,HOND,RIDGELINE,YK3F8PKNW,GA,HERE,5FPYK3F87PB010832,5,31,"$43,409.80 ","$47,920 ",,NEW,
58209,2022,HOND,PILOT,YF6H5NJNW,WY,HERE,5FNYF6H53NB094985,5,31,"$40,553.72 ","$44,000 ",,NEW,
O56068A,2021,KIA,SPORTAGE,SPORK,blue,RI 20697769,KNDPMCAC4M7849655,"22,351",31,"$20,882.20 ","$23,788 ",,USED,
O58195A,2016,FORD,EDGE,K4J,BK,MA CA550472,2FMPK4J89GBC08449,"38,488",31,"$17,770.82 ","$20,968 ",,USED,
O73355XXA,2018,BMW,430I,184T,GRAY,MA CF529211,WBA4J3C55JBL03530,"55,225",28,"$23,654.72 ","$28,668 ",,USED,
O73706ZZA,2018,NISS,SENTRA,SENTD,white,MEV15737662,3N1AB7AP9JY295239,"64,870",28,"$9,800.00 ",$0 ,,USED,Wholesale
O56135A,2020,HOND,PILOT,PILOT,sil,RI 20582795,5FNYF6H34LB052367,"33,599",28,"$29,525.82 ","$31,968 ",Certified,USED,
O73579A,2017,MB,GLC,GLC,GRAY,MA CF495019,WDC0G6EB9HV009152,"55,885",28,"$34,725.47 ","$36,588 ",,USED,
O56032A,2020,HOND,CR-V,RW2H5LJW,WHITE,RI 20572630,2HKRW2H50LH619559,"22,688",28,"$26,779.65 ","$31,868 ",Certified,USED,
O73712XXA,2021,NISS,SENTRA,SENTD,RED,RI 20727716,3N1AB8CV6MY209214,"6,761",28,"$21,711.68 ","$23,968 ",,USED,
O56121B,2013,HYUN,VELOSTER,VELO,GREY,RI 21028259,KMHTC6AD8DU167838,"79,277",28,"$7,897.75 ",$0 ,,USED,Wholesale
O73358XXA,2021,BMW,430I,214D,gray,BMWFI10.26,WBA73AP03MCF72332,"27,712",28,"$40,551.20 ","$42,968 ",,USED,
O58183A,2020,HOND,CIVIC,FC2F6LEW,BI,RI 20618530,2HGFC2F60LH552043,"35,993",27,"$18,800.00 ","$23,968 ",Certified,USED,
58210,2022,HOND,PILOT,YF6H6NKNW,WY,HERE,5FNYF6H69NB095664,5,27,"$44,251.43 ","$48,860 ",,NEW,
58211,2023,HOND,PASSPORT,YF8H0PKNW,BK,HERE.,5FNYF8H07PB000707,5,27,"$43,345.50 ","$47,855 ",,NEW,
58212,2023,HOND,RIDGELINE,YK3F8PKNW,WX,HERE,5FPYK3F82PB010365,5,27,"$43,409.80 ","$47,920 ",,NEW,
O73761XX,2022,TOYO,RAV4,,SILVER,MA CF105382,2T3F1RFV9NC256642,"10,306",26,"$29,481.68 ","$31,488 ",,USED,
O73607XXA,2018,LAND,RANGE ROVER,,GRAY,MA CF529635,SALWR2RE4JA805112,"45,247",26,"$65,077.00 ",$0 ,,USED,Wholesale
O73762XX,2019,TOYO,TACOMA,7582,BLACK,MA BV170016,3TMGZ5AN5KM240351,"31,303",26,"$37,881.68 ","$40,898 ",,USED,
O73763XX,2019,TOYO,TACOMA,,GREY,MA BV950567,3TMCZ5AN3KM285674,"22,675",26,"$32,981.68 ","$35,491 ",,USED,
O73764XX,2018,BMW,X2,18XY,GREY,MA CF033141,WBXYJ5C30JEF82226,"42,026",26,"$25,730.93 ","$28,398 ",,USED,
O73765XX,2021,GMC,ACADIA,,BLACK,MA CF036291,1GKKNRL41MZ235008,"33,495",26,"$31,981.68 ","$34,968 ",,USED,
O73754XX,2022,AUDI,A5,F5FBZY,BLACK,MA CF157019,WAUCBCF55NA003907,"6,803",26,"$45,221.68 ","$47,777 ",,USED,
O73766XX,2019,TOYO,HIGHLANDER,,GRAY,MA BV545744,5TDJZRFH0KS991695,"24,204",26,"$33,041.68 ","$35,698 ",,USED,
58213,2022,HOND,PILOT,YF6H2NJNW,SX,HERE,5FNYF6H26NB097126,7,26,"$40,870.43 ","$44,205 ",,NEW,
58214,2022,HOND,PILOT,YF6H2NJNW,SX,HERE,5FNYF6H23NB096466,7,26,"$40,870.43 ","$44,205 ",,NEW,
O73756XX,2021,BMW,X3,21SE,WHITE,MA CC326341,5UXTS1C09M9F13615,"12,982",26,"$46,721.68 ","$48,968 ",,USED,
O73757XX,2019,TOYO,RAV4,4432,GREY,MA CF171877,2T3F1RFV3KC056173,"13,827",26,"$28,134.81 ","$30,396 ",,USED,
O73710XXA,2019,SUBA,WRX,KUW,BLUE,MA BV364786,JF1VA2V64K9823952,"30,087",26,"$33,300.00 ","$37,488 ",,USED,
O73759XX,2018,TOYO,RAV4,,PURPLE,MA CF171741,2T3RFREV8JW833671,"49,389",26,"$25,161.02 ","$26,998 ",,USED,
O73642XXA,2016,HOND,CR-V,,WHITE,NMA CF554435,5J6RM4H35GL080206,"81,344",26,"$15,398.69 ","$19,488 ",,USED,
O73760XX,2019,TOYO,RAV4,,BLACK,MA CF144477,2T3P1RFV9KC016653,"40,149",26,"$28,124.12 ","$30,488 ",,USED,
O58203A,2019,HOND,CR-V,CRV,WHITE,RI 20483777,2HKRW2H86KH664515,"13,168",25,"$27,838.91 ","$32,598 ",Certified,USED,
O73417XXA,2005,LEXU,RX 330,,BLK,MA BG777547,2T2HA31UX5C040145,"178,709",25,"$3,300.00 ",$0 ,,USED,Wholesale
O73768XX,2018,BMW,330XI,183X,BLACK,MA CB892490,WBA8D9G57JNU70041,"54,902",24,"$24,531.68 ","$27,968 ",,USED,
O73769XX,2019,JEEP,CHEROKEE,,RED,MA CF150544,1C4PJMDX4KD421161,"19,954",24,"$23,781.68 ","$27,488 ",,USED,
O73770XX,2017,FORD,F-150,W1E,BLACK,MA CF036652,1FTEW1EP2HFA39214,"78,415",24,"$27,100.00 ","$28,968 ",,USED,
58217,2022,HOND,PILOT,YF6H2NJNW,BK,HERE,5FNYF6H26NB097417,5,24,"$40,740.43 ","$44,205 ",,NEW,
O73783XX,2019,AUDI,A4,,BLACK,BMWBOSTPURC-PO,WAUENAF48KN011743,25018,21,"$28,400.68 ",$0 ,,USED,
O58172A,2020,HOND,PASSPORT,PASSH,BLACK,MA CF523231,5FNYF8H56LB002969,"50,343",21,"$29,390.38 ","$31,688 ",Certified,USED,
58219,2022,HOND,ACCORD,CV1F4NENW,GA,HERE,1HGCV1F4XNA096379,6,21,"$29,528.80 ","$31,960 ",,NEW,
O58193A,2019,HOND,CR-V,RW6H3KEW,WHITE,RI 20335977,2HKRW6H30KH212040,33692,21,"$21,544.42 ","$25,768 ",Certified,USED,
58220,2022,HOND,PILOT,YF6H2NJNW,GY,HERE,5FNYF6H22NB096703,10,21,"$40,740.43 ","$44,205 ",,NEW,
O73776,2012,HYUN,SONA,,BLACK,RI 7385746,5NPEB4ACXCH470995,83234,21,"$8,460.40 ","$10,968 ",,USED,
O73774XX,2019,HYUN,SANTA FE,,BLACK,MA BU863435,KM8SNDHF0KU308058,"38,055",21,"$25,850.00 ","$27,488 ",,USED,
O73775ZZ,2016,MB,S550,,WHITE,MA CE653559,WDDUG8FB3GA239380,"76,152",21,"$34,050.00 ","$38,768 ",,USED,
O73786XX,2017,DODG,CHALLENGER,,GRAY,MACF1444397,2C3CDZDJ7HH664168,"44,226",21,"$34,481.68 ","$37,968 ",,USED,
O73787XX,2021,CADI,ESCALADE,,WHITE,MA CF226092,1GYS4BKL3MR439642,"11,181",21,"$86,481.68 ","$89,968 ",,USED,
O73703XXA,2017,HOND,CR-V,CRV,GRAY,COASTAL11.3,5J6RW2H53HL041454,"86,220",21,"$19,481.68 ",$0 ,,USED,Wholesale
O73777XX,2020,JEEP,GRAND CHEROKEE,,RED,NH15789555,1C4RJFAG0LC271601,"45,285",21,"$31,981.68 ","$33,968 ",,USED,
O73788XX,2021,AUDI,SQ8,4MN5W1,WHITE,MA CF143956,WA1CWBF10MD001763,"30,675",21,"$85,576.68 ","$89,488 ",,USED,
O58188A,2015,TOYO,SIENNA,5366,,RI 20526616,5TDJK3DC7FS098728,"69,006",21,"$17,830.99 ","$24,468 ",,USED,
O73779XX,2018,TOYO,RAV4,,RED,MA BU663965,JTMBFREV8JD255523,"36,872",21,"$22,681.68 ","$24,968 ",,USED,
O58176A,2020,HOND,CR-V,RW2H5LJW,BLACK,MA CB590408,2HKRW2H53LH614050,"27,448",21,"$27,995.43 ","$31,398 ",Certified,USED,
O73780XX,2019,AUDI,SQ5,FYB54A,GRAY,MA BV863197,WA1B4AFY5K2138599,"38,001",21,"$38,981.68 ","$42,488 ",,USED,
O73781XX,2016,TOYO,AVALON,,BLACK,MA CF190260,4T1BK1EB0GU201625,"83,106",21,"$18,771.67 ","$20,768 ",,USED,
O58207A,2020,HOND,CR-V,RW2H5LJW,BLACK,RI 20597945,2HKRW2H56LH629996,"32,609",21,"$26,764.44 ",$0 ,,USED,
O73782XX,2019,HOND,CIVIC,FC1F3KJW,,MA CF382676,19XFC1F35KE202562,"4,863",21,"$23,881.68 ","$27,288 ",Certified,USED,
O56127A,2012,KIA,SPORTAGE,,Gray,CUSTOMER,KNDPCCA29C7174300,"215,095",21,"$2,300.00 ",$0 ,,USED,Wholesale
O73722A,2016,KIA,OPTIMA,OPTIMA,WHITE,COASTAL111.4,5XXGU4L37GG070071,"123,359",18,"$9,962.58 ","$12,748 ",,USED,
58224,2022,HOND,ACCORD HYBRID,CV3F2NEW,GA,HERE,1HGCV3F26NA043415,6,18,"$30,202.37 ","$32,560 ",,NEW,
58225,2022,HOND,ACCORD,CV1F3NEW,WX,HERE,1HGCV1F37NA099179,6,18,"$28,288.03 ","$30,470 ",,NEW,
58226,2022,HOND,ACCORD HYBRID,CV3F2NEW,GA,HERE,1HGCV3F21NA043483,6,18,"$30,202.37 ","$32,560 ",,NEW,
58229,2022,HOND,PILOT,YF6H2NJNW,SX,here,5FNYF6H2XNB097114,11,18,"$40,740.43 ","$44,205 ",,NEW,
58232,2022,HOND,ACCORD,CV1F3NEW,GA,HERE,1HGCV1F3XNA099600,7,17,"$28,288.03 ","$30,470 ",,NEW,
O73792XX,2016,BMW,328XI,163W,WHITE,MA CE332227,WBA8E3C51GK501746,81822,17,"$14,800.00 ","$19,768 ",,USED,
O58205A,2015,JEEP,CHEROKEE,CHER,GRAY,MA CD94185,1C4PJMCB7FW719591,101439,14,"$9,300.00 ","$15,588 ",,USED,
O58192A,2019,HOND,CR-V,RW6H3KEW,GRAY,RI 20460718,2HKRW6H3XKH227810,31719,14,"$22,111.40 ","$26,488 ",Certified,USED,
58233,2022,HOND,ACCORD,CV2F3NJW,WX,HERE,1HGCV2F33NA022010,5,14,"$32,450.68 ","$35,150 ",,NEW,
O56142A,2019,HOND,ACCORD,,BLACK,RI 20472303,1HGCV1F19KA175396,32516,14,"$21,555.46 ","$25,668 ",,USED,
O73656XXB,2015,VOLV,XC60,XC60,TAN,MA CF571999,YV4902RK2F2688326,"174,208",14,"$7,300.00 ",$0 ,,USED,Wholesale
O73794,2020,HOND,CIVIC,FK7H8LJNW,,MA CC021170,SHHFK7H84LU403989,"9,364",14,"$26,546.04 ","$29,488 ",Certified,USED,
O58162A,2021,HOND,CR-V,RW2H5MJW,WHITE,CTAA4226206,2HKRW2H54MH672041,"19,051",14,"$27,632.12 ","$32,968 ",Certified,USED,
O58206A,2012,HOND,CIVIC,CIVIC,silver,DUP 11/7,2HGFG3B50CH557492,"72,300",14,"$7,481.68 ",$0 ,,USED,Wholesale
O73748XXA,2018,HOND,PILOT,YF6H5JJNW,GRAY,ALLY11.10,5FNYF6H57JB007955,59254,13,"$21,800.00 ","$30,588 ",Certified,USED,
58234,2023,HOND,HR-V,RZ2H3PEW,GY,HERE,3CZRZ2H37PM720422,5,13,"$24,832.71 ","$26,395 ",,NEW,
O56148A,2021,HOND,CR-V,CRV,WHITE,RI 20832064,7FARW2H79ME025459,18980,12,"$26,736.11 ","$32,788 ",Certified,USED,
O56070A,2021,HOND,PILOT,YF6H5MJNW,RED,RI 20682124,5FNYF6H59MB038287,"23,989",12,"$32,137.99 ","$37,968 ",Certified,USED,
O56112A,2018,JEEP,GRAND CHEROKEE,GRANC,WHITE,RI 20924972,1C4RJFBG9JC154966,"72,442",12,"$21,590.36 ",$0 ,,USED,Wholesale
O73340XXD,2007,HYUN,TUCSON,TUCSON,BLACK,RI 7030927,KM8JN12D07U501027,"169,193",12,$800.00 ,$0 ,,USED,Wholesale
O58196A,2019,HOND,CIVIC,FC2F6KEW,WHITE,MA CA247020,2HGFC2F6XKH582195,"14,202",12,"$18,888.36 ","$24,588 ",Certified,USED,
O56147B,2010,HOND,Accord Crosstour,,BLACK,MA BL863857,5J6TF2H50AL002896,"155,298",11,,$0 ,,USED,Wholesale
58235,2022,HOND,ACCORD,CV1F4NENW,GA,HERE,1HGCV1F45NA102802,5,11,"$29,652.80 ","$31,960 ",,NEW,
58236,2023,HOND,HR-V,RZ2H3PEW,SX,HERE,3CZRZ2H30PM724568,5,11,24972.42,"$26,545 ",,NEW,
O56062B,2018,HOND,CIVIC,,RED,MA CF564972,2HGFC2F53JH527528,"43,202",11,"$17,829.18 ","$20,968 ",Certified,USED,
O58216A,2016,TOYO,COROLLA,,TAN,MA CF391385,2T1BURHE5GC686652,70751,10,"$11,616.37 ","$16,488 ",,USED,
